Name,Type,Address,Lat,Lon,DateEntered,FruitLevel
MarketName Unknown,Grocery,"498 17th St, Harrisburg, PA 17110",40.260575, -76.861562,9/6/2018,"Unknown"
MarketName Unknown, Grocerty,20 17th St, Harrisburg, PA 17011",40.267264, -76.864620,"Unknown",9/6/2018
Mac Lay Street Food Market,Grocery,"234 Maclay St, Harrisburg, PA 17110",40.27868,-76.8971,8/19/2016,"More"
Deardorff Grocery,Grocery,224 Hamilton St,40.27362,-76.89361,8/19/2016,"Less"
Sayford Market,Grocery,"1307 N 3rd St, Harrisburg, PA 17102",40.27019,-76.88929,8/19/2016,"Less"
Alvarro Bread & Pastry,Bakery,236 Peffer St 17102,40.27718,-76.8962,8/19/2016,"None"
Broad St Market,Grocery,1233 N. 3rd St 17102,40.26979,-76.88851,8/19/2016,"More"
Shakti Grocery,Grocery,"6 S. 3rd St., 17101",40.26073,-76.88058,8/19/2016,"Unknown"
Fourth St Mkt & Grocery,Grocery,23 S. 4th St. 17101,40.26161,-76.87863,8/19/2016,"Unknown"
Rivas Deli Grocery,Grocery,"1364 Vernon St., Harrisburg 17104",40.26427,-76.86709,8/19/2016,"Unknown"
Superior Stores,Grocery,1307 Market St 17103,40.26572,-76.86968,8/19/2016,"Unknown"
Asia Market,Grocery,325 S 17th St 17104,40.26271,-76.86232,8/19/2016,"Unknown"
La Estrella Grocery,Grocery,1417 Derry St 17104,40.26264,-76.8667,8/19/2016,"Unknown"
Young's Grocery,Grocery,1933 Derry St. 17104,40.26106,-76.85676,8/19/2016,"Unknown"
GIANT,Grocery,136 Kline Village 17104,40.27121,-76.84048,8/19/2016,"More"
Shop n' Drive,Convenience,2201 Herr St 17103,40.27837,-76.8583,8/19/2016,"Unknown"
Convenience Store,Convenience,"497 Walnut St Harrisburg, PA",40.26383,-76.88021,8/19/2016,"Unknown"
New York Deli and Convenience Store,Convenience,"314 N. 2nd St. Harrisburg, PA",40.26225,-76.88577,8/19/2016,"Unknown"
Ciao! Bakery,Bakery,"31 S 3rd St, Harrisburg, PA 17101",40.26041,-76.87941,8/19/2016,"Unknown"
P&R Bakery / Café,Bakery,"1300 N 3rd St, Harrisburg, PA 17102",40.2696,-76.88933,8/19/2016,"Unknown"
Sun's Food Market,Grocery,"1701 Market St. Harrisburg, PA",40.26711,-76.86455,8/25/2016,"Unknown"
Quick Stop,Grocery,"Harris and 4th Streets, Harrisburg, PA",40.2735,-76.88967,8/27/2016,"Unknown"
V&F Mini Market,Grocery,"2163 N 4th St.,Harrisburg, PA 17110, Harrisburg, PA",40.281,-76.8945,11/20/16,"Unknown"
Caney Food Market,Grocery,"2122 Mulberry St, Harrisburg, PA 17110",40.2629,-76.87052,12/29/16,"More"
Min and Jay Market,Grocery,"Regina and 17th Streets, Harrisburg, PA, 17110",40.2689,-76.8654,05/10/17,"Unknown"
